Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Will Butcher,NJD,L,D,1995-01-06,Sun Prairie,WI,USA,USA,70,190,2013,5,123,20172018,N,42,4,10,14
Paul Byron,MTL,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,158,2007,6,179,20102011,N,19,1,3,4
Nick Caamano,DAL,L,R,1998-09-07,Hamilton,ON,CAN,CAN,75,200,2016,5,146,20192020,N,12,1,1,2
Drake Caggiula,CHI,L,C,1994-06-20,Pickering,ON,CAN,CAN,70,176,--,--,--,20162017,N,17,3,1,4
Matt Calvert,COL,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20102011,N,38,11,12,23
Kyle Capobianco,ARI,L,D,1997-08-13,Mississauga,ON,CAN,CAN,73,196,2015,3,63,20172018,N,7,1,0,1
Paul Carey,BOS,L,C,1988-09-24,Boston,MA,USA,USA,73,200,2007,5,135,20132014,N,1,0,0,0
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,212,2015,2,37,20162017,N,46,4,9,13
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,217,2008,1,27,20092010,N,46,13,42,55
Gabriel Carlsson,CBJ,L,D,1997-01-02,Orebro,--,SWE,SWE,77,192,2015,1,29,20162017,N,6,0,0,0
Ryan Carpenter,CHI,R,C,1991-01-18,Oviedo,FL,USA,USA,72,200,--,--,--,20152016,N,45,2,9,11
Daniel Carr,NSH,L,L,1991-11-01,Sherwood Park,AB,CAN,CAN,72,193,--,--,--,20152016,N,11,1,0,1
Connor Carrick,NJD,R,D,1994-04-13,Orland Park,IL,USA,USA,71,192,2012,5,137,20132014,N,8,0,2,2
Sam Carrick,ANA,R,C,1992-02-04,Markham,ON,CAN,CAN,72,205,2010,5,144,20142015,N,9,1,1,2
Trevor Carrick,SJS,L,D,1994-07-04,Stouffville,ON,CAN,CAN,74,196,2012,4,115,20152016,N,3,0,0,0
Alexandre Carrier,NSH,R,D,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,N,2,0,0,0
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,218,2013,2,57,20162017,N,48,5,8,13
Jeff Carter,LAK,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,47,12,8,20
Colby Cave,EDM,L,C,1994-12-26,Battleford,SK,CAN,CAN,73,200,--,--,--,20172018,N,5,1,0,1
Cody Ceci,TOR,R,D,1993-12-21,Ottawa,ON,CAN,CAN,74,210,2012,1,15,20132014,N,46,1,6,7
Peter Cehlarik,BOS,L,L,1995-08-02,Zilina,--,SVK,SVK,74,202,2013,3,90,20162017,N,3,0,1,1
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,233,2015,2,43,20182019,N,42,3,5,8
Thomas Chabot,OTT,L,D,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015,1,18,20162017,N,45,4,21,25
Zdeno Chara,BOS,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,44,5,8,13
Ben Chiarot,MTL,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,225,2009,4,119,20132014,N,44,7,8,15
Alex Chiasson,EDM,R,R,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,41,6,9,15
Filip Chlapik,OTT,L,C,1997-06-03,Prague,--,CZE,CZE,74,194,2015,2,48,20172018,N,20,2,3,5
Dennis Cholowski,DET,L,D,1998-02-15,Langley,BC,CAN,CAN,74,197,2016,1,20,20182019,N,29,2,6,8
Jakob Chychrun,ARI,L,D,1998-03-31,Boca Raton,FL,USA,USA,74,210,2016,1,16,20162017,N,48,10,9,19
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,206,2017,1,21,20172018,N,35,11,5,16
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,72,193,2015,3,72,20172018,N,44,9,18,27
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,195,2009,4,92,20112012,N,38,9,4,13
Kale Clague,LAK,L,D,1998-06-05,Regina,SK,CAN,CAN,72,177,2016,2,51,20192020,N,4,0,0,0
Kyle Clifford,LAK,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,211,2009,2,35,20102011,N,46,5,7,12
Connor Clifton,BOS,R,D,1995-04-28,Long Branch,NJ,USA,USA,71,175,2013,5,133,20182019,N,30,2,0,2
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,216,2006,3,72,20072008,N,33,3,4,7
Braydon Coburn,TBL,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,223,2003,1,8,20052006,N,24,1,1,2
Andrew Cogliano,DAL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,175,2005,1,25,20072008,N,44,2,7,9
Ian Cole,COL,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,40,4,16,20
Blake Coleman,NJD,L,C,1991-11-28,Plano,TX,USA,USA,71,200,2011,3,75,20162017,N,45,15,8,23
Blake Comeau,DAL,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,31,6,4,10
J.T. Compher,COL,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,42,7,16,23
Max Comtois,ANA,L,L,1999-01-08,Longueuil,QC,CAN,CAN,74,215,2017,2,50,20182019,N,28,4,6,10
Cory Conacher,TBL,L,C,1989-12-14,Burlington,ON,CAN,CAN,68,185,--,--,--,20122013,N,4,0,1,1
Kevin Connauton,COL,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,1,0,0,0
Brett Connolly,FLA,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,192,2010,1,6,20112012,N,45,16,13,29
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,182,2015,1,17,20162017,N,46,22,22,44
Andrew Copp,WPG,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,206,2013,4,104,20142015,N,38,7,9,16
Nick Cousins,MTL,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,183,2011,3,68,20142015,N,40,5,8,13
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,200,2007,1,9,20092010,N,45,14,22,36
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,75,211,2011,1,8,20112012,N,45,12,24,36
Charlie Coyle,BOS,R,C,1992-03-02,E. Weymouth,MA,USA,USA,75,220,2010,1,28,20122013,N,46,8,15,23
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,17,5,12,17
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,220,2015,1,11,20162017,N,44,10,5,15
Austin Czarnik,CGY,R,C,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20162017,N,8,2,1,3
Kirby Dach,CHI,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,197,2019,1,3,20192020,N,40,6,5,11
Evgenii Dadonov,FLA,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,71,185,2007,3,71,20092010,N,45,19,17,36
Rasmus Dahlin,BUF,L,D,2000-04-13,Lidkoping,--,SWE,SWE,75,193,2018,1,1,20182019,N,38,2,24,26
Carl Dahlstrom,WPG,L,D,1995-01-28,Stockholm,--,SWE,SWE,76,231,2013,2,51,20172018,N,14,0,0,0
Michael Dal Colle,NYI,L,L,1996-06-20,Woodbridge,ON,CAN,CAN,75,204,2014,1,5,20172018,N,32,2,4,6
Trevor Daley,DET,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,22,0,1,1
Phillip Danault,MTL,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,201,2011,1,26,20142015,N,46,11,20,31
Marko Dano,CBJ,L,L,1994-11-30,Eisenstadt,--,AUT,SVK,71,201,2013,1,27,20142015,N,3,0,0,0
Brandon Davidson,CGY,L,D,1991-08-21,Taber,AB,CAN,CAN,74,208,2010,6,162,20142015,N,3,0,0,0
Jonathan Davidsson,OTT,R,R,1997-03-12,Tyreso,--,SWE,SWE,71,185,2017,6,170,20192020,N,6,0,1,1
Calvin de Haan,CHI,L,D,1991-05-09,Carp,ON,CAN,CAN,73,195,2009,1,12,20112012,N,29,1,5,6
Jacob de la Rose,STL,L,L,1995-05-20,Arvika,--,SWE,SWE,75,215,2013,2,34,20142015,N,41,2,7,9
Jean-Sebastien Dea,BUF,R,C,1994-02-08,Laval,QC,CAN,CAN,71,168,--,--,--,20162017,N,1,0,0,0
Tony DeAngelo,NYR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,44,11,25,36
Alex DeBrincat,CHI,R,L,1997-12-18,Farmington Hills,MI,USA,USA,67,165,2016,2,39,20172018,N,46,11,21,32
Jake DeBrusk,BOS,L,L,1996-10-17,Edmonton,AB,CAN,CAN,72,188,2015,1,14,20172018,N,41,14,11,25
Danny DeKeyser,DET,L,D,1990-03-07,Detroit,MI,USA,USA,75,190,--,--,--,20122013,N,8,0,4,4
Michael Del Zotto,ANA,L,D,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,30,1,7,8
Dylan DeMelo,OTT,R,D,1993-05-01,London,ON,CAN,CAN,72,191,2011,6,179,20152016,N,35,0,6,6
Jason Demers,ARI,R,D,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,N,40,0,6,6
Travis Dermott,TOR,L,D,1996-12-22,Newmarket,ON,CAN,CAN,72,205,2015,2,34,20172018,N,33,4,4,8
Nicolas Deslauriers,ANA,L,L,1991-02-22,LaSalle,QC,CAN,CAN,75,219,2009,3,84,20132014,N,33,1,4,5
Thomas Di Pauli,PIT,L,C,1994-04-29,Woodbridge,IL,USA,USA,71,188,2012,4,100,20192020,N,2,0,0,0
Jason Dickinson,DAL,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,41,5,8,13
Brenden Dillon,SJS,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,47,1,10,11
Christian Djoos,WSH,L,D,1994-08-06,Gothenburg,--,SWE,SWE,72,180,2012,7,195,20172018,N,2,0,0,0
Noah Dobson,NYI,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,184,2018,1,12,20192020,N,16,0,3,3
Max Domi,MTL,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,192,2013,1,12,20152016,N,46,12,21,33
Ryan Donato,MIN,L,C,1996-04-09,Boston,MA,USA,USA,72,192,2014,2,56,20172018,N,42,8,5,13
Joonas Donskoi,COL,R,R,1992-04-13,Raahe,--,FIN,FIN,72,190,2010,4,99,20152016,N,44,14,15,29
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,202,2008,1,2,20082009,N,47,6,20,26
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,195,2009,7,197,20152016,N,33,5,5,10
Justin Dowling,DAL,L,C,1990-10-01,Calgary,AB,CAN,CAN,70,180,--,--,--,20162017,N,24,3,3,6
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,208,2014,1,3,20142015,N,47,25,45,70
Sheldon Dries,COL,L,C,1994-04-23,Macomb,MI,USA,USA,69,180,--,--,--,20182019,N,1,0,0,0
Jonathan Drouin,MTL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,72,197,2013,1,3,20142015,N,19,7,8,15
Dillon Dube,CGY,L,C,1998-07-20,Golden,BC,CAN,CAN,71,187,2016,2,56,20182019,N,23,4,5,9
Pierre-Luc Dubois,CBJ,L,C,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,75,218,2016,1,3,20172018,N,46,15,19,34
Matt Duchene,NSH,L,C,1991-01-16,Haliburton,ON,CAN,CAN,71,195,2009,1,3,20092010,N,41,10,20,30
Anthony Duclair,OTT,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,198,2013,3,80,20142015,N,44,21,11,32
Matt Dumba,MIN,R,D,1994-07-25,Regina,SK,CAN,CAN,72,180,2012,1,7,20132014,N,45,3,10,13
Gabriel Dumont,MIN,R,C,1990-10-06,Degelis,QC,CAN,CAN,70,191,2009,5,138,20112012,N,3,0,0,0
Brian Dumoulin,PIT,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,23,1,6,7
Vince Dunn,STL,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,203,2015,2,56,20172018,N,46,7,7,14
Christian Dvorak,ARI,L,C,1996-02-02,Palos,IL,USA,USA,72,195,2014,2,58,20162017,N,48,11,16,27
Ryan Dzingel,CAR,L,C,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20152016,N,45,8,18,26
Cody Eakin,VGK,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,183,2009,3,85,20112012,N,27,3,4,7
Jordan Eberle,NYI,R,R,1990-05-15,Regina,SK,CAN,CAN,71,187,2008,1,22,20102011,N,33,4,14,18
Alexander Edler,VAN,L,D,1986-04-21,Ostersund,--,SWE,SWE,75,212,2004,3,91,20062007,N,36,4,16,20
Joel Edmundson,CAR,L,D,1993-06-28,Brandon,MB,CAN,CAN,76,215,2011,2,46,20152016,N,45,4,7,11
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,46,18,19,37
Christoffer Ehn,DET,L,C,1996-04-05,Skara,--,SWE,SWE,75,195,2014,4,106,20182019,N,34,1,0,1
Jack Eichel,BUF,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,203,2015,1,2,20152016,N,45,27,32,59
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,43,5,19,24
Mattias Ekholm,NSH,L,D,1990-05-24,Borlange,--,SWE,SWE,76,215,2009,4,102,20112012,N,43,5,20,25
Oliver Ekman-Larsson,ARI,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,200,2009,1,6,20102011,N,48,5,15,20
Lars Eller,WSH,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,46,11,15,26
Ryan Ellis,NSH,R,D,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,39,6,22,28
Deryk Engelland,VGK,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20092010,N,43,1,5,6
Andreas Englund,OTT,L,D,1996-01-21,Stockholm,--,SWE,SWE,75,189,2014,2,40,20162017,N,12,0,2,2
Pierre Engvall,TOR,L,L,1996-05-31,Ljungby,--,SWE,SWE,77,214,2014,7,188,20192020,N,24,7,5,12
